"Age"	"Iteration"	"MeanIndividualLength"	"StratumTransfer"	"Quarter"
5	23	29.341521820853	"Transfer.area"	"Q4"
6	23	29.585178871793	"Transfer.area"	"Q4"
7	23	29.714902706416	"Transfer.area"	"Q4"
8	23	29.78405014753	"Transfer.area"	"Q4"
9	23	29.820931315762	"Transfer.area"	"Q4"
10	23	29.840609167954	"Transfer.area"	"Q4"
11	23	29.851110093879	"Transfer.area"	"Q4"
12	23	0	"Transfer.area"	"Q4"
13	23	0	"Transfer.area"	"Q4"
14	23	29.86130190877	"Transfer.area"	"Q4"
15	23	29.862154000072	"Transfer.area"	"Q4"
1	24	21.94548327228	"Transfer.area"	"Q4"
2	24	25.147764474965	"Transfer.area"	"Q4"
3	24	26.800116565545	"Transfer.area"	"Q4"
4	24	27.667533640233	"Transfer.area"	"Q4"
5	24	28.126496742528	"Transfer.area"	"Q4"
6	24	28.370289758883	"Transfer.area"	"Q4"
7	24	28.500047657723	"Transfer.area"	"Q4"
8	24	28.569183077961	"Transfer.area"	"Q4"
9	24	28.606038988079	"Transfer.area"	"Q4"
10	24	28.625692529896	"Transfer.area"	"Q4"
11	24	0	"Transfer.area"	"Q4"
12	24	0	"Transfer.area"	"Q4"
13	24	0	"Transfer.area"	"Q4"
14	24	28.646338299569	"Transfer.area"	"Q4"
15	24	28.647186844693	"Transfer.area"	"Q4"
1	25	23.141542355406	"Transfer.area"	"Q4"
2	25	26.248502191735	"Transfer.area"	"Q4"
3	25	27.797171136989	"Transfer.area"	"Q4"
4	25	28.583187097366	"Transfer.area"	"Q4"
5	25	28.985361289247	"Transfer.area"	"Q4"
6	25	29.191940943186	"Transfer.area"	"Q4"
7	25	29.298258135398	"Transfer.area"	"Q4"
8	25	29.35302861493	"Transfer.area"	"Q4"
9	25	29.381258421487	"Transfer.area"	"Q4"
10	25	29.395812386802	"Transfer.area"	"Q4"
11	25	0	"Transfer.area"	"Q4"
12	25	0	"Transfer.area"	"Q4"
13	25	0	"Transfer.area"	"Q4"
14	25	29.410210920754	"Transfer.area"	"Q4"
15	25	29.4107415869	"Transfer.area"	"Q4"
1	26	22.756779186266	"Transfer.area"	"Q4"
2	26	25.738414163169	"Transfer.area"	"Q4"
3	26	27.29997186372	"Transfer.area"	"Q4"
4	26	28.138397911348	"Transfer.area"	"Q4"
5	26	28.593819691987	"Transfer.area"	"Q4"
6	26	28.842656807961	"Transfer.area"	"Q4"
7	26	28.97903980679	"Transfer.area"	"Q4"
8	26	29.053913148741	"Transfer.area"	"Q4"
9	26	29.095055228917	"Transfer.area"	"Q4"
10	26	29.117673501087	"Transfer.area"	"Q4"
11	26	0	"Transfer.area"	"Q4"
12	26	0	"Transfer.area"	"Q4"
13	26	0	"Transfer.area"	"Q4"
14	26	29.142784603665	"Transfer.area"	"Q4"
15	26	29.14392308401	"Transfer.area"	"Q4"
1	27	22.796710805336	"Transfer.area"	"Q4"
2	27	26.018831519466	"Transfer.area"	"Q4"
3	27	27.66844301349	"Transfer.area"	"Q4"
4	27	28.528478835197	"Transfer.area"	"Q4"
5	27	28.980594298834	"Transfer.area"	"Q4"
6	27	29.219239728297	"Transfer.area"	"Q4"
7	27	29.345469212144	"Transfer.area"	"Q4"
8	27	29.412309505579	"Transfer.area"	"Q4"
9	27	29.447722480996	"Transfer.area"	"Q4"
10	27	29.466490415266	"Transfer.area"	"Q4"
11	27	0	"Transfer.area"	"Q4"
12	27	0	"Transfer.area"	"Q4"
13	27	0	"Transfer.area"	"Q4"
