"CatchDate"	"Stratum"	"LandedRoundWeight"
2023-04-19T22:00:00Z	"27.4.b"	222
2023-04-20T22:00:00Z	"27.4.b"	808
2023-04-21T22:00:00Z	"27.4.b"	14882
2023-04-22T22:00:00Z	"27.4.b"	1062
2023-05-03T22:00:00Z	"27.4.b"	222
2023-05-04T22:00:00Z	"27.4.b"	4458
2023-05-10T22:00:00Z	"27.4.b"	18903
2023-05-13T22:00:00Z	"27.4.b"	12407
2023-05-14T22:00:00Z	"27.4.b"	16368
2023-05-15T22:00:00Z	"27.4.b"	16655
2023-05-16T22:00:00Z	"27.4.b"	8320
2023-05-18T22:00:00Z	"27.4.b"	3056
2023-05-20T22:00:00Z	"27.4.b"	60879
2023-05-21T22:00:00Z	"27.4.b"	14827
2023-05-22T22:00:00Z	"27.4.b"	65
2023-05-23T22:00:00Z	"27.4.b"	3000
2023-05-28T22:00:00Z	"27.4.b"	97
2023-05-30T22:00:00Z	"27.4.b"	588
2023-06-01T22:00:00Z	"27.4.b"	92
2023-06-02T22:00:00Z	"27.4.b"	65
2023-06-03T22:00:00Z	"27.4.b"	300
2023-06-04T22:00:00Z	"27.4.b"	3420
2023-06-09T22:00:00Z	"27.4.b"	1620
2023-06-15T22:00:00Z	"27.4.b"	48667
2023-06-20T22:00:00Z	"27.4.b"	23750
2023-08-01T22:00:00Z	"27.4.b"	447907
2023-08-08T22:00:00Z	"27.4.b"	17735
2023-08-11T22:00:00Z	"27.4.b"	500
2023-08-13T22:00:00Z	"27.4.b"	717
2023-08-16T22:00:00Z	"27.4.b"	3200
2023-08-18T22:00:00Z	"27.4.b"	1000
2023-08-20T22:00:00Z	"27.4.b"	500
2023-08-21T22:00:00Z	"27.4.b"	348574
2023-08-24T22:00:00Z	"27.4.b"	1158530
2023-09-02T22:00:00Z	"27.4.b"	4026
2023-09-10T22:00:00Z	"27.4.b"	3359
2023-09-19T22:00:00Z	"27.4.b"	280000
