"Parameter"	"Mean"	"Variance"	"chainId"
"ProportionAtAgeModel-Quarter:Q4:Age:8 tau_Intercept"	1.809564404788	0.636996906381	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q1:Age:8 tau_Intercept"	1.809564404788	0.636996906381	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q2:Age:9 tau_Intercept"	1.809564404788	0.636996906381	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q3:Age:9 tau_Intercept"	1.809564404788	0.636996906381	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q4:Age:9 tau_Intercept"	1.809564404788	0.636996906381	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q1:Age:9 tau_Intercept"	1.809564404788	0.636996906381	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q2:Age:1 ar_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q3:Age:1 ar_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q4:Age:1 ar_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q1:Age:1 ar_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q2:Age:2 ar_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q3:Age:2 ar_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q4:Age:2 ar_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q1:Age:2 ar_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q2:Age:3 ar_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q3:Age:3 ar_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q4:Age:3 ar_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q1:Age:3 ar_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q2:Age:4 ar_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q3:Age:4 ar_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q4:Age:4 ar_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q1:Age:4 ar_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q2:Age:5 ar_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q3:Age:5 ar_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q4:Age:5 ar_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q1:Age:5 ar_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q2:Age:6 ar_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q3:Age:6 ar_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q4:Age:6 ar_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q1:Age:6 ar_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q2:Age:7 ar_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q3:Age:7 ar_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q4:Age:7 ar_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q1:Age:7 ar_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q2:Age:8 ar_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q3:Age:8 ar_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q4:Age:8 ar_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q1:Age:8 ar_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q2:Age:9 ar_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q3:Age:9 ar_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q4:Age:9 ar_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Quarter:Q1:Age:9 ar_Intercept"	NA	NA	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.4.aE:Age:1 Intercept"	0.0698862109704	0.193848137525	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.4.aW:Age:1 Intercept"	-0.0950209350306	0.184340043811	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.3.a:Age:1 Intercept"	-0.0191132090649	0.254350622288	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.4.b:Age:1 Intercept"	0.0428310224108	0.225828832693	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.7.j:Age:1 Intercept"	0.00141691071433	0.218315355915	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.4.aE:Age:2 Intercept"	-0.441791574951	0.121931191993	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.4.aW:Age:2 Intercept"	0.500004748934	0.142100289916	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.3.a:Age:2 Intercept"	-0.0410622774249	0.22739152404	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.4.b:Age:2 Intercept"	-0.0306769291991	0.253785671381	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.7.j:Age:2 Intercept"	0.0135260326404	0.212385987596	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.4.aE:Age:3 Intercept"	-0.311126326121	0.139561528436	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.4.aW:Age:3 Intercept"	0.364326494326	0.145142677457	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.3.a:Age:3 Intercept"	-0.0416157832094	0.230712297982	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.4.b:Age:3 Intercept"	0.000571849242151	0.252565826777	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.7.j:Age:3 Intercept"	-0.0121562342378	0.281231183246	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.4.aE:Age:4 Intercept"	-0.062593110007	0.112493573836	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.4.aW:Age:4 Intercept"	0.0786743641027	0.105078107166	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.3.a:Age:4 Intercept"	-0.00211465892532	0.252035468267	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.4.b:Age:4 Intercept"	-0.0270108505852	0.229725575957	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.7.j:Age:4 Intercept"	0.0130442554148	0.22884507313	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.4.aE:Age:5 Intercept"	-0.0205905025247	0.117224571311	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.4.aW:Age:5 Intercept"	-0.0173590870667	0.110305849985	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.3.a:Age:5 Intercept"	0.0614046963472	0.247466486377	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.4.b:Age:5 Intercept"	-0.0237949130781	0.208406846739	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.7.j:Age:5 Intercept"	0.000339806322264	0.251708364706	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.4.aE:Age:6 Intercept"	0.0676356703035	0.130565881355	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.4.aW:Age:6 Intercept"	-0.115238221568	0.146606472503	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.3.a:Age:6 Intercept"	-3.96533230633e-05	0.229317394355	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.4.b:Age:6 Intercept"	0.0586171770768	0.245023782193	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.7.j:Age:6 Intercept"	-0.0109749724897	0.271065358646	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.4.aE:Age:7 Intercept"	0.0851608052301	0.133385509496	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.4.aW:Age:7 Intercept"	-0.0771981153205	0.114784849264	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.3.a:Age:7 Intercept"	0.0340036820823	0.233710158836	"C:\Users\Administrator\Documents\temp\ecatest"
