"Age"	"Iteration"	"MeanIndividualLength"	"Stratum"	"Quarter"
7	31	29.138212825444	"27.4.aE"	"Q4"
8	31	29.537912526059	"27.4.aE"	"Q4"
9	31	29.899718004459	"27.4.aE"	"Q4"
10	31	30.230545350966	"27.4.aE"	"Q4"
11	31	30.535548146894	"27.4.aE"	"Q4"
12	31	30.818673543363	"27.4.aE"	"Q4"
13	31	31.083014202738	"27.4.aE"	"Q4"
14	31	31.331040108984	"27.4.aE"	"Q4"
15	31	31.56475643765	"27.4.aE"	"Q4"
1	32	24.522997253696	"27.4.aE"	"Q4"
2	32	25.774951353712	"27.4.aE"	"Q4"
3	32	26.692012328426	"27.4.aE"	"Q4"
4	32	27.421605949382	"27.4.aE"	"Q4"
5	32	28.030350526299	"27.4.aE"	"Q4"
6	32	28.554298004673	"27.4.aE"	"Q4"
7	32	29.015258590015	"27.4.aE"	"Q4"
8	32	29.427474325231	"27.4.aE"	"Q4"
9	32	29.800779777739	"27.4.aE"	"Q4"
10	32	30.142262629809	"27.4.aE"	"Q4"
11	32	30.457206527848	"27.4.aE"	"Q4"
12	32	30.749659768034	"27.4.aE"	"Q4"
13	32	31.02279535584	"27.4.aE"	"Q4"
14	32	31.279148246963	"27.4.aE"	"Q4"
15	32	31.520776967914	"27.4.aE"	"Q4"
1	33	23.879145785145	"27.4.aE"	"Q4"
2	33	25.094875907294	"27.4.aE"	"Q4"
3	33	25.985301654326	"27.4.aE"	"Q4"
4	33	26.693646079137	"27.4.aE"	"Q4"
5	33	27.284622382745	"27.4.aE"	"Q4"
6	33	27.793249065553	"27.4.aE"	"Q4"
7	33	28.240709931653	"27.4.aE"	"Q4"
8	33	28.640837322872	"27.4.aE"	"Q4"
9	33	29.003182500094	"27.4.aE"	"Q4"
10	33	29.33462871778	"27.4.aE"	"Q4"
11	33	29.640307060025	"27.4.aE"	"Q4"
12	33	29.924148814362	"27.4.aE"	"Q4"
13	33	30.189235192955	"27.4.aE"	"Q4"
14	33	30.438027755308	"27.4.aE"	"Q4"
15	33	30.672525379954	"27.4.aE"	"Q4"
1	34	25.453097506472	"27.4.aE"	"Q4"
2	34	26.785324826812	"27.4.aE"	"Q4"
3	34	27.762201537011	"27.4.aE"	"Q4"
4	34	28.539974679685	"27.4.aE"	"Q4"
5	34	29.189308683051	"27.4.aE"	"Q4"
6	34	29.748469707856	"27.4.aE"	"Q4"
7	34	30.240619528462	"27.4.aE"	"Q4"
8	34	30.680889392248	"27.4.aE"	"Q4"
9	34	31.079731854616	"27.4.aE"	"Q4"
10	34	31.444682498125	"27.4.aE"	"Q4"
11	34	31.781360548445	"27.4.aE"	"Q4"
12	34	32.094072588726	"27.4.aE"	"Q4"
13	34	32.386194903644	"27.4.aE"	"Q4"
