"Age"	"Iteration"	"MeanIndividualLength"	"Stratum"
4	38	26.057990356667	"27.4.aE"
5	38	26.539905086507	"27.4.aE"
6	38	26.98542657798	"27.4.aE"
7	38	27.604970219017	"27.4.aE"
8	38	27.977966338043	"27.4.aE"
9	38	28.691365635983	"27.4.aE"
10	38	29.275252354668	"27.4.aE"
11	38	29.992022149446	"27.4.aE"
12	38	29.93267878764	"27.4.aE"
13	38	30.928382365869	"27.4.aE"
14	38	31.187540908075	"27.4.aE"
15	38	31.003397009775	"27.4.aE"
1	39	22.275245426214	"27.4.aE"
2	39	23.656029573132	"27.4.aE"
3	39	24.803171859904	"27.4.aE"
4	39	25.765316291765	"27.4.aE"
5	39	26.587564698438	"27.4.aE"
6	39	26.670297120701	"27.4.aE"
7	39	27.550607092947	"27.4.aE"
8	39	27.437920538521	"27.4.aE"
9	39	28.144681128908	"27.4.aE"
10	39	28.850024865951	"27.4.aE"
11	39	28.859670272448	"27.4.aE"
12	39	29.506410445528	"27.4.aE"
13	39	30.308479762596	"27.4.aE"
14	39	30.560053210866	"27.4.aE"
15	39	30.139238088161	"27.4.aE"
1	40	22.413421311979	"27.4.aE"
2	40	23.74015086737	"27.4.aE"
3	40	25.086329881518	"27.4.aE"
4	40	26.175061542266	"27.4.aE"
5	40	26.579654268382	"27.4.aE"
6	40	26.930336098461	"27.4.aE"
7	40	27.555283900611	"27.4.aE"
8	40	28.041810493597	"27.4.aE"
9	40	28.63276080742	"27.4.aE"
10	40	29.333176009823	"27.4.aE"
11	40	29.810278110416	"27.4.aE"
12	40	29.970109440376	"27.4.aE"
13	40	30.969729624869	"27.4.aE"
14	40	31.232074857477	"27.4.aE"
15	40	31.470360909708	"27.4.aE"
1	41	22.646880479767	"27.4.aE"
2	41	23.676817488387	"27.4.aE"
3	41	25.031985035053	"27.4.aE"
4	41	26.119270565994	"27.4.aE"
5	41	26.670253285439	"27.4.aE"
6	41	27.214094759922	"27.4.aE"
7	41	27.738237731112	"27.4.aE"
8	41	28.347965472648	"27.4.aE"
9	41	29.098922035426	"27.4.aE"
10	41	29.416269568812	"27.4.aE"
11	41	29.298619009747	"27.4.aE"
12	41	30.173118446159	"27.4.aE"
13	41	31.371745711859	"27.4.aE"
14	41	31.632565328529	"27.4.aE"
15	41	31.864146195944	"27.4.aE"
1	42	22.351297080764	"27.4.aE"
2	42	23.481130040762	"27.4.aE"
3	42	24.741569275037	"27.4.aE"
4	42	25.760207814893	"27.4.aE"
5	42	26.277046452647	"27.4.aE"
6	42	26.845665016838	"27.4.aE"
7	42	27.169853578226	"27.4.aE"
8	42	27.68674065119	"27.4.aE"
9	42	28.313672745356	"27.4.aE"
10	42	28.836021210428	"27.4.aE"
11	42	28.970493791514	"27.4.aE"
12	42	29.395745779398	"27.4.aE"
13	42	30.031138956609	"27.4.aE"
14	42	30.285754114259	"27.4.aE"
15	42	30.532799099333	"27.4.aE"
1	43	22.430210088004	"27.4.aE"
2	43	23.481637861463	"27.4.aE"
3	43	24.805012911429	"27.4.aE"
4	43	25.898182259866	"27.4.aE"
5	43	26.505883488957	"27.4.aE"
6	43	26.656602429291	"27.4.aE"
7	43	27.387156415044	"27.4.aE"
