"Dokumentnummer"	"Linjenummer"	"Art_kode"	"Registreringsmerke_seddel"	"Fangstår"	"SisteFangstdato"	"Redskap_kode"	"HovedgruppeRedskap_kode"	"Hovedområde_kode"	"Lokasjon_kode"	"StørsteLengde"	"Fartøynasjonalitet_kode"	"KystHav_kode"	"Fartøynavn"	"FartøyID"	"Radiokallesignal_seddel"	"Lengdegruppe_kode"	"Lengdegruppe_bokmål"	"Bruttotonnasje1969"	"BruttotonnasjeAnnen"	"Byggeår"	"Ombyggingsår"	"Motorkraft"	"Motorbyggeår"	"FartøyGjelderFraDato"	"FartøyGjelderTilDato"	"Fartøytype_kode"	"Fartøytype_bokmål"	"Fartøykommune_kode"	"Fartøykommune"	"Fartøyfylke_kode"	"Fartøyfylke"	"Fartøynasjonalitet_kode.Fartøy"	"Fartøynasjonalitet_bokmål"
"1572941"	4	"2013"	"R 0007K"	2021	"09.05.2021"	"51"	NA	"41"	"75"	60.4	"NOR"	0	"VEA"	"2004026585"	"LMMJ"	"5"	"28 m og over"	1475	NA	2003	NA	3900	2003	"01.01.2018"	"17.07.2022 23:59:59"	"01"	"Fiskefartøy"	1149	"KARMØY"	11	"Rogaland"	NA	"NORGE"
"1572896"	3	"2013"	"R 0007K"	2021	"01.05.2021"	"51"	NA	"08"	"06"	60.4	"NOR"	0	"VEA"	"2004026585"	"LMMJ"	"5"	"28 m og over"	1475	NA	2003	NA	3900	2003	"01.01.2018"	"17.07.2022 23:59:59"	"01"	"Fiskefartøy"	1149	"KARMØY"	11	"Rogaland"	NA	"NORGE"
"1572926"	3	"2013"	"R 0001K"	2021	"05.05.2021"	"51"	NA	"08"	"06"	65	"NOR"	0	"CETUS"	"2019111153"	"LFFK"	"5"	"28 m og over"	2230	NA	2019	NA	4500	2019	"06.09.2019"	"09.03.2022 23:59:59"	"01"	"Fiskefartøy"	1149	"KARMØY"	11	"Rogaland"	NA	"NORGE"
"1573035"	6	"2013"	"H 0030B"	2021	"20.05.2021"	"51"	NA	"41"	"74"	61.86	"NOR"	0	"LØNNINGEN"	"2009048528"	"LKLV"	"5"	"28 m og over"	1169	NA	1998	2001	4670	1998	"01.01.2020"	"01.10.2022 01:02:28"	"01"	"Fiskefartøy"	4613	"BØMLO"	46	"Vestland"	NA	"NORGE"
"1572828"	5	"2013"	"R 0001K"	2021	"20.04.2021"	"51"	NA	"41"	"75"	65	"NOR"	0	"CETUS"	"2019111153"	"LFFK"	"5"	"28 m og over"	2230	NA	2019	NA	4500	2019	"06.09.2019"	"09.03.2022 23:59:59"	"01"	"Fiskefartøy"	1149	"KARMØY"	11	"Rogaland"	NA	"NORGE"
"1572836"	3	"2013"	"M 0095MD"	2021	"20.04.2021"	"51"	NA	"41"	"75"	62.6	"NOR"	0	"HAVSNURP"	"2012059592"	"LCOE"	"5"	"28 m og over"	1401	NA	2012	NA	4021	2012	"01.01.2020"	"23.01.2022 23:59:59"	"01"	"Fiskefartøy"	1506	"MOLDE"	15	"Møre og Romsdal"	NA	"NORGE"
"1576021"	6	"2013"	"R 0022B"	2021	"24.08.2021"	"51"	NA	"08"	"07"	42.5	"NOR"	0	"HÅFLU"	"1998003525"	"LEQI"	"5"	"28 m og over"	598	NA	1991	1996	1632	1991	"01.01.2018"	"01.10.2022 01:02:28"	"01"	"Fiskefartøy"	1145	"BOKN"	11	"Rogaland"	NA	"NORGE"
"1577499"	6	"2013"	"R 0022B"	2021	"22.09.2021"	"51"	NA	"08"	"07"	42.5	"NOR"	0	"HÅFLU"	"1998003525"	"LEQI"	"5"	"28 m og over"	598	NA	1991	1996	1632	1991	"01.01.2018"	"01.10.2022 01:02:28"	"01"	"Fiskefartøy"	1145	"BOKN"	11	"Rogaland"	NA	"NORGE"
"1574348"	5	"2013"	"H 0175B"	2021	"03.07.2021"	"51"	NA	"28"	"09"	61.54	"NOR"	0	"BØMMELBAS"	"2000013297"	"LLGZ"	"5"	"28 m og over"	1206	NA	2000	NA	3750	2000	"01.01.2020"	"01.10.2022 01:02:28"	"01"	"Fiskefartøy"	4613	"BØMLO"	46	"Vestland"	NA	"NORGE"
"1577347"	8	"2013"	"M 0101SM"	2021	"18.09.2021"	"51"	NA	"08"	"07"	53	"NOR"	0	"FISKEBANK"	"2004027725"	"LEPW"	"5"	"28 m og over"	1197	NA	2004	NA	3700	2003	"22.02.2021"	"01.10.2022 01:02:28"	"01"	"Fiskefartøy"	1573	"SMØLA"	15	"Møre og Romsdal"	NA	"NORGE"
