"Dokumentnummer"	"Linjenummer"	"Art_kode"	"Registreringsmerke_seddel"	"Fangstår"	"SisteFangstdato"	"Redskap_kode"	"HovedgruppeRedskap_kode"	"Hovedområde_kode"	"Lokasjon_kode"	"StørsteLengde"	"Fartøynasjonalitet_kode"	"KystHav_kode"	"Fangstfelt_kode"	"Hovedområde_bokmål"	"Sone_kode"	"Sone_bokmål"	"Områdegruppering_bokmål"	"HovedområdeFAO_kode"	"HovedområdeFAO_bokmål"	"NordSørFor62GraderNord"	"Fangstdagbok_nummer"	"Fangstdagbok_turnummer"
"1568098"	2	"2013"	"SF0017SU"	2020	"04.10.2020"	"11"	NA	"07"	"33"	36.34	"NOR"	8	"80733"	"Storegga-Frøyabanken"	"NOR"	"Norges økonomiske sone"	"Atlanterhavet, nordøst/Norskehavet - utenfor NEAFC reguleringsområde"	"27"	"Nordøstlige Atlanterhav"	"Nord for 62°N"	201099	999
"1567952"	1	"2013"	"H 0148AV"	2020	"02.10.2020"	"11"	NA	"42"	"12"	69.95	"NOR"	0	"04212"	"Shetland"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	0	0
"1568208"	2	"2013"	"VL0167AV"	2020	"05.10.2020"	"11"	NA	"42"	"13"	63.5	"NOR"	0	"04213"	"Shetland"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	0	0
"1569518"	2	"2013"	"H 0365AV"	2020	"27.10.2020"	"53"	NA	"42"	"22"	78.75	"NOR"	0	"04222"	"Shetland"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	0	0
"1563134"	1	"2013"	"FR249"	2020	"29.01.2020"	"53"	NA	"43"	"82"	NA	"GBR"	0	"04382"	"Vest av Skottland (Hebridene)"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordvestkysten av Skottland og Nord-Irland eller som vest av Skottland"	"27"	"Nordøstlige Atlanterhav"	"Annet"	0	0
"1563219"	1	"2013"	"FR249"	2020	"03.02.2020"	"53"	NA	"43"	"63"	NA	"GBR"	0	"04363"	"Vest av Skottland (Hebridene)"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordvestkysten av Skottland og Nord-Irland eller som vest av Skottland"	"27"	"Nordøstlige Atlanterhav"	"Annet"	0	0
"1566929"	3	"2013"	"GG203"	2020	"07.09.2020"	"53"	NA	"41"	"85"	NA	"SWE"	0	"04185"	"Sentrale Nordsjø"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/sentrale Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	0	0
"1570635"	2	"2013"	"VA0010S"	2020	"27.11.2020"	"54"	NA	"42"	"42"	14.98	"NOR"	0	"04242"	"Shetland"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	0	0
"1570635"	1	"2013"	"VA0010S"	2020	"27.11.2020"	"54"	NA	"42"	"42"	14.98	"NOR"	0	"04242"	"Shetland"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	0	0
"1570409"	3	"2013"	"BF50"	2020	"23.11.2020"	"53"	NA	"42"	"52"	NA	"GBR"	0	"04252"	"Shetland"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	201099	999
"1570879"	1	"2013"	"BF50"	2020	"03.12.2020"	"53"	NA	"42"	"63"	NA	"GBR"	0	"04263"	"Shetland"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	0	0
"1570727"	1	"2013"	"BF50"	2020	"30.11.2020"	"53"	NA	"42"	"52"	NA	"GBR"	0	"04252"	"Shetland"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	201099	999
"1569880"	1	"2013"	"TR0400V"	2020	"07.11.2020"	"53"	NA	"42"	"53"	45	"NOR"	0	"04253"	"Shetland"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	0	0
"1569880"	2	"2013"	"TR0400V"	2020	"07.11.2020"	"53"	NA	"42"	"53"	45	"NOR"	0	"04253"	"Shetland"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	0	0
"1570409"	1	"2013"	"BF50"	2020	"23.11.2020"	"53"	NA	"42"	"52"	NA	"GBR"	0	"04252"	"Shetland"	"XEU"	"EU-sonen"	"Atlanterhavet, nordøst/nordlige Nordsjøen"	"27"	"Nordøstlige Atlanterhav"	"Sør for 62°N"	201099	999
