"Dokumentnummer"	"Linjenummer"	"Art_kode"	"Registreringsmerke_seddel"	"Fangstår"	"SisteFangstdato"	"Redskap_kode"	"HovedgruppeRedskap_kode"	"Hovedområde_kode"	"Lokasjon_kode"	"StørsteLengde"	"Fartøynasjonalitet_kode"	"KystHav_kode"	"id"	"Dokumenttype_Kode"	"Dokumenttype_Bokmål"	"DokumentVersjonsnummer"	"DokumentFormulardato"	"DokumentElektroniskDato"
"1568905"	2	"2013"	"M 0056MD"	2020	"14.10.2020"	"11"	NA	"42"	"32"	78.39	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"16.10.2020"	"19.10.2020 15:26:23.841"
"1568487"	1	"2013"	"M 0095MD"	2020	"08.10.2020"	"11"	NA	"42"	"22"	62.6	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"10.10.2020"	"13.10.2020 09:56:21.759"
"1568688"	1	"2013"	"N 0346Ø"	2020	"10.10.2020"	"11"	NA	"28"	"03"	38.65	"NOR"	8	NA	0	"Sluttseddeldokument"	3	"12.10.2020"	"15.10.2020 11:36:05.052"
"1567966"	2	"2013"	"M 0189A"	2020	"02.10.2020"	"11"	NA	"42"	"22"	74.8	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"04.10.2020"	"06.10.2020 14:42:11.615"
"1568312"	1	"2013"	"H 0004O"	2020	"06.10.2020"	"11"	NA	"42"	"12"	59.2	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"08.10.2020"	"13.10.2020 09:16:35.667"
"1568483"	1	"2013"	"N 0001LF"	2020	"08.10.2020"	"11"	NA	"42"	"32"	46.55	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"10.10.2020"	"13.10.2020 09:56:18.964"
"1567970"	2	"2013"	"T 0055G"	2020	"02.10.2020"	"11"	NA	"42"	"12"	69.99	"NOR"	0	NA	0	"Sluttseddeldokument"	4	"04.10.2020"	"06.10.2020 14:42:18.810"
"1567966"	1	"2013"	"M 0189A"	2020	"02.10.2020"	"11"	NA	"42"	"22"	74.8	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"04.10.2020"	"06.10.2020 14:42:11.615"
"1568218"	2	"2013"	"M 0300A"	2020	"05.10.2020"	"11"	NA	"42"	"13"	71.6	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"07.10.2020"	"12.10.2020 13:40:22.180"
"1568218"	3	"2013"	"M 0300A"	2020	"05.10.2020"	"11"	NA	"42"	"13"	71.6	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"07.10.2020"	"12.10.2020 13:40:22.180"
"1568225"	2	"2013"	"M 0064MD"	2020	"05.10.2020"	"11"	NA	"07"	"33"	21.94	"NOR"	8	NA	0	"Sluttseddeldokument"	3	"06.10.2020"	"07.10.2020 11:18:26.762"
"1567970"	3	"2013"	"T 0055G"	2020	"02.10.2020"	"11"	NA	"42"	"12"	69.99	"NOR"	0	NA	0	"Sluttseddeldokument"	4	"04.10.2020"	"06.10.2020 14:42:18.810"
"1567920"	1	"2013"	"M 0038AV"	2020	"02.10.2020"	"11"	NA	"07"	"33"	42	"NOR"	8	NA	0	"Sluttseddeldokument"	3	"02.10.2020"	"06.10.2020 12:18:02.114"
"1569170"	2	"2013"	"SF0028B"	2020	"18.10.2020"	"11"	NA	"42"	"22"	64	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"20.10.2020"	"23.10.2020 11:06:38.547"
"1568621"	1	"2013"	"N 0346Ø"	2020	"10.10.2020"	"11"	NA	"28"	"03"	38.65	"NOR"	8	NA	0	"Sluttseddeldokument"	3	"12.10.2020"	"14.10.2020 13:50:19.138"
"1568126"	2	"2013"	"T 0100T"	2020	"04.10.2020"	"11"	NA	"42"	"13"	44.78	"NOR"	0	NA	0	"Sluttseddeldokument"	4	"06.10.2020"	"07.10.2020 11:18:15.086"
"1567669"	1	"2013"	"N 0053BØ"	2020	"29.09.2020"	"11"	NA	"42"	"32"	37.52	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"01.10.2020"	"05.10.2020 08:30:11.828"
"1569067"	1	"2013"	"M 0065HØ"	2020	"16.10.2020"	"11"	NA	"42"	"22"	74	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"18.10.2020"	"20.10.2020 13:06:32.546"
"1568056"	4	"2013"	"M 0065HØ"	2020	"03.10.2020"	"11"	NA	"42"	"12"	74	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"05.10.2020"	"07.10.2020 15:08:11.676"
"1568015"	1	"2013"	"M 0014MD"	2020	"03.10.2020"	"11"	NA	"07"	"33"	33.46	"NOR"	8	NA	0	"Sluttseddeldokument"	4	"04.10.2020"	"06.10.2020 14:42:31.047"
"1568016"	1	"2013"	"M 0014MD"	2020	"03.10.2020"	"11"	NA	"07"	"33"	33.46	"NOR"	8	NA	0	"Sluttseddeldokument"	6	"04.10.2020"	"06.10.2020 14:42:32.201"
"1568674"	2	"2013"	"F 0004H"	2020	"10.10.2020"	"11"	NA	"42"	"32"	44.35	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"12.10.2020"	"15.10.2020 11:34:30.942"
"1568724"	2	"2013"	"M 0174AV"	2020	"11.10.2020"	"11"	NA	"42"	"32"	35.17	"NOR"	0	NA	0	"Sluttseddeldokument"	3	"13.10.2020"	"15.10.2020 11:36:15.355"
