"Dokumentnummer"	"Linjenummer"	"Art_kode"	"Registreringsmerke_seddel"	"Fangstår"	"SisteFangstdato"	"Redskap_kode"	"HovedgruppeRedskap_kode"	"Hovedområde_kode"	"Lokasjon_kode"	"StørsteLengde"	"Fartøynasjonalitet_kode"	"KystHav_kode"	"KvotefartøyRegMerke"	"Kvotetype_kode"	"Kvotetype_bokmål"
"1582544"	6	"2013"	"H 0175B"	2022	"14.05.2022"	"51"	NA	"41"	"74"	61.54	"NOR"	0	"H 0175B"	"01"	"Vanlig kvote"
"1582605"	6	"2013"	"M 0023HØ"	2022	"19.05.2022"	"51"	NA	"41"	"75"	69.95	"NOR"	0	"M 0023HØ"	"01"	"Vanlig kvote"
"1582461"	6	"2013"	"H 0069S"	2022	"30.04.2022"	"51"	NA	"41"	"76"	61.88	"NOR"	0	"H 0069S"	"01"	"Vanlig kvote"
"1582435"	4	"2013"	"H 0005ØN"	2022	"25.04.2022"	"51"	NA	"41"	"75"	62.6	"NOR"	0	"H 0005ØN"	"01"	"Vanlig kvote"
"1582484"	7	"2013"	"H 0221B"	2022	"04.05.2022"	"51"	NA	"41"	"74"	49.96	"NOR"	0	"H 0221B"	"01"	"Vanlig kvote"
"1582533"	5	"2013"	"M 0158SM"	2022	"12.05.2022"	"51"	NA	"41"	"93"	53.9	"NOR"	0	"M 0158SM"	"01"	"Vanlig kvote"
"1582501"	7	"2013"	"R 0022B"	2022	"06.05.2022"	"51"	NA	"41"	"76"	42.5	"NOR"	0	"R 0022B"	"01"	"Vanlig kvote"
"1582474"	6	"2013"	"R 0001K"	2022	"03.05.2022"	"51"	NA	"41"	"75"	65	"NOR"	0	"R 0001K"	"01"	"Vanlig kvote"
"1582735"	5	"2013"	"M 0031HØ"	2022	"25.05.2022"	"51"	NA	"41"	"76"	62.6	"NOR"	0	"M 0031HØ"	"01"	"Vanlig kvote"
"1582487"	2	"2013"	"H 0140AV"	2022	"05.05.2022"	"51"	NA	"41"	"74"	64	"NOR"	0	"H 0140AV"	"01"	"Vanlig kvote"
"1582504"	3	"2013"	"H 0175B"	2022	"07.05.2022"	"51"	NA	"41"	"75"	61.54	"NOR"	0	"H 0175B"	"01"	"Vanlig kvote"
"1585430"	2	"2013"	"S205"	2022	"26.08.2022"	"51"	NA	"41"	"24"	NA	"DNK"	0	"S205"	"04"	"Annet lands kvote"
"1582460"	7	"2013"	"H 0030B"	2022	"30.04.2022"	"51"	NA	"41"	"76"	61.86	"NOR"	0	"H 0030B"	"01"	"Vanlig kvote"
"1582518"	3	"2013"	"H 0030B"	2022	"10.05.2022"	"51"	NA	"41"	"75"	61.86	"NOR"	0	"H 0030B"	"01"	"Vanlig kvote"
"1583134"	6	"2013"	"H 0005ØN"	2022	"16.06.2022"	"51"	NA	"41"	"75"	62.6	"NOR"	0	"H 0005ØN"	"01"	"Vanlig kvote"
