"CruiseKey"	"StationKey"	"HaulKey"	"SpeciesCategoryKey"	"SampleKey"	"Sample"	"CatchFractionWeight"	"CatchFractionNumber"	"SampleWeight"	"SampleNumber"	"sampleproducttype"	"lengthmeasurement"
"NA/19/2021/10011/30"	"74"	"38074"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-74-38074-makrell/172414/127023/Scomber scombrus-1"	440000	905755	11.173	23	"1"	"F"
"NA/19/2021/10011/30"	"75"	"38075"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-75-38075-makrell/172414/127023/Scomber scombrus-1"	70000	132556	13.202	25	"1"	"F"
"NA/19/2021/10011/30"	"76"	"38076"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-76-38076-makrell/172414/127023/Scomber scombrus-1"	420000	1143376	12.122	33	"1"	"F"
"NA/19/2021/10011/30"	"77"	"38077"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-77-38077-makrell/172414/127023/Scomber scombrus-1"	280000	673592	9.145	22	"1"	"F"
"NA/19/2021/10011/30"	"78"	"38078"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-78-38078-makrell/172414/127023/Scomber scombrus-1"	440000	960826	15.112	33	"1"	"F"
"NA/19/2021/10011/30"	"79"	"38079"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-79-38079-makrell/172414/127023/Scomber scombrus-1"	240000	655985	10.61	29	"1"	"F"
"NA/19/2021/10011/30"	"80"	"38080"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-80-38080-makrell/172414/127023/Scomber scombrus-1"	250000	637291	8.238	21	"1"	"F"
"NA/19/2021/10011/30"	"81"	"38081"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-81-38081-makrell/172414/127023/Scomber scombrus-1"	1450000	3465252	10.461	25	"1"	"F"
"NA/19/2021/10011/30"	"82"	"38082"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-82-38082-makrell/172414/127023/Scomber scombrus-1"	150000	360628	7.071	17	"1"	"F"
"NA/19/2021/10011/30"	"83"	"38083"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-83-38083-makrell/172414/127023/Scomber scombrus-1"	160000	419654	11.438	30	"1"	"F"
"NA/19/2021/10011/30"	"83"	"38083"	"makrell/172414/127023/Scomber scombrus"	"2"	"NA/19/2021/10011/30-83-38083-makrell/172414/127023/Scomber scombrus-2"	1.956	5	1.956	5	"1"	"F"
"NA/19/2021/10011/30"	"84"	"38084"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-84-38084-makrell/172414/127023/Scomber scombrus-1"	180000	394662	10.49	23	"1"	"F"
"NA/19/2021/10011/30"	"85"	"38085"	"makrell/172414/127023/Scomber scombrus"	"1"	"NA/19/2021/10011/30-85-38085-makrell/172414/127023/Scomber scombrus-1"	310000	780201	11.92	30	"1"	"F"
