"Age"	"Iteration"	"MeanIndividualLength"	"StratumTransfer"
7	44	30.02326352143	"Transfer.area"
8	44	29.922617996797	"Transfer.area"
9	44	30.074350204521	"Transfer.area"
10	44	30.15121158302	"Transfer.area"
11	44	0	"Transfer.area"
12	44	0	"Transfer.area"
13	44	0	"Transfer.area"
14	44	0	"Transfer.area"
15	44	30.067593950572	"Transfer.area"
1	45	21.971793863224	"Transfer.area"
2	45	25.18584301231	"Transfer.area"
3	45	26.795003188768	"Transfer.area"
4	45	27.456566789651	"Transfer.area"
5	45	28.026775478801	"Transfer.area"
6	45	28.321960220727	"Transfer.area"
7	45	28.371582760642	"Transfer.area"
8	45	28.219020366678	"Transfer.area"
9	45	28.422002913312	"Transfer.area"
10	45	28.331802614821	"Transfer.area"
11	45	0	"Transfer.area"
12	45	0	"Transfer.area"
13	45	28.016915141412	"Transfer.area"
14	45	0	"Transfer.area"
15	45	28.567217656277	"Transfer.area"
1	46	22.734631869217	"Transfer.area"
2	46	25.754809115574	"Transfer.area"
3	46	27.735182549952	"Transfer.area"
4	46	28.327355895494	"Transfer.area"
5	46	29.240430089569	"Transfer.area"
6	46	29.105218411813	"Transfer.area"
7	46	29.483902953902	"Transfer.area"
8	46	29.314609802579	"Transfer.area"
9	46	29.152625592724	"Transfer.area"
10	46	29.713274175273	"Transfer.area"
11	46	0	"Transfer.area"
12	46	0	"Transfer.area"
13	46	30.057005160167	"Transfer.area"
14	46	29.05532505493	"Transfer.area"
15	46	30.046267743491	"Transfer.area"
1	47	21.727849117905	"Transfer.area"
2	47	24.891295835212	"Transfer.area"
3	47	26.545457647106	"Transfer.area"
4	47	27.378627745187	"Transfer.area"
5	47	27.862342380477	"Transfer.area"
6	47	28.140034052051	"Transfer.area"
7	47	28.293420051394	"Transfer.area"
8	47	28.338560984132	"Transfer.area"
9	47	28.371117405095	"Transfer.area"
10	47	28.42204430947	"Transfer.area"
11	47	0	"Transfer.area"
12	47	0	"Transfer.area"
13	47	28.436228115063	"Transfer.area"
14	47	28.41176858801	"Transfer.area"
15	47	28.43419106331	"Transfer.area"
1	48	22.080997365703	"Transfer.area"
2	48	25.228775198879	"Transfer.area"
3	48	26.839671457154	"Transfer.area"
4	48	27.702769479361	"Transfer.area"
5	48	28.126761412739	"Transfer.area"
6	48	28.340834688373	"Transfer.area"
7	48	28.430602006143	"Transfer.area"
8	48	28.729487953943	"Transfer.area"
9	48	28.648168040242	"Transfer.area"
10	48	28.573744827817	"Transfer.area"
11	48	0	"Transfer.area"
12	48	0	"Transfer.area"
13	48	28.623778905691	"Transfer.area"
14	48	29.039140652086	"Transfer.area"
15	48	28.520576818453	"Transfer.area"
1	49	22.61600809815	"Transfer.area"
