"CruiseKey"	"StationKey"	"Station"	"CatchPlatform"	"DateTime"	"Latitude"	"Longitude"	"BottomDepth"	"Stratum"	"Period"	"Quarter"
"NA/19/2021/10024/10"	"14"	"NA/19/2021/10024/10-14"	"2934"	2021-02-15T12:00:00Z	65.524	11.053	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2021/10024/10"	"15"	"NA/19/2021/10024/10-15"	"9889"	2021-01-23T18:52:00Z	69.567	15.7171	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2021/10024/10"	"16"	"NA/19/2021/10024/10-16"	"9889"	2021-01-25T01:15:00Z	69.5331	15.3001	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2021/10024/10"	"17"	"NA/19/2021/10024/10-17"	"9017"	2021-01-19T17:24:00Z	69.717	16.083	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2021/10024/10"	"18"	"NA/19/2021/10024/10-18"	"9571"	2021-02-15T03:41:00Z	66.2001	11.033	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2021/10024/10"	"19"	"NA/19/2021/10024/10-19"	"4002"	2021-02-04T20:20:00Z	68.1171	10.6	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2021/10024/10"	"20"	"NA/19/2021/10024/10-20"	"4415"	2021-02-19T22:27:00Z	65.667	11.1	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2021/10024/10"	"21"	"NA/19/2021/10024/10-21"	"9522"	2021-02-03T12:43:00Z	70.0331	16.8501	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2021/10024/10"	"22"	"NA/19/2021/10024/10-22"	"3823"	2021-02-15T19:54:00Z	65.583	10.9831	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2021/10024/10"	"23"	"NA/19/2021/10024/10-23"	"9125"	2021-02-08T03:27:00Z	67.55	9.633	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2021/10024/10"	"24"	"NA/19/2021/10024/10-24"	"9125"	2021-02-08T11:42:00Z	67.4831	9.40001	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2021/10024/10"	"25"	"NA/19/2021/10024/10-25"	"3224"	2021-02-03T03:20:00Z	68.0331	7.95001	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2021/10024/10"	"26"	"NA/19/2021/10024/10-26"	"1251"	2021-02-22T22:39:00Z	66.083	11.417	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2021/10024/10"	"27"	"NA/19/2021/10024/10-27"	"3674"	2021-01-27T12:40:00Z	68.633	6.367	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2021/10024/10"	"28"	"NA/19/2021/10024/10-28"	"9103"	2021-02-14T06:46:00Z	67.317	9.96701	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2021/10024/10"	"29"	"NA/19/2021/10024/10-29"	"9847"	2021-01-30T16:45:00Z	69.9001	16.583	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2021/10024/10"	"30"	"NA/19/2021/10024/10-30"	"4595"	2021-02-19T16:29:00Z	65.8	10.5831	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2021/10024/10"	"32"	"NA/19/2021/10024/10-32"	"4595"	2021-02-15T08:47:00Z	66.017	10.783	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2021/10024/10"	"33"	"NA/19/2021/10024/10-33"	"9847"	2021-01-27T01:22:00Z	69.8671	15.4831	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2021/10024/10"	"35"	"NA/19/2021/10024/10-35"	"4427"	2021-01-27T18:28:00Z	69.595	15.5441	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
"NA/19/2021/10024/10"	"36"	"NA/19/2021/10024/10-36"	"4166"	2021-02-22T06:47:00Z	65.5331	11.1501	NA	"27.2.a"	"[01-01, 01-04>"	"Q1"
