"Age"	"Iteration"	"MeanIndividualLength"	"Stratum"
14	36	28.84559629366	"27.4.aE"
15	36	28.847522391311	"27.4.aE"
1	37	20.299397702761	"27.4.aE"
2	37	23.223050597241	"27.4.aE"
3	37	25.242949737726	"27.4.aE"
4	37	26.558903315249	"27.4.aE"
5	37	26.966419434493	"27.4.aE"
6	37	27.005755623338	"27.4.aE"
7	37	27.197140153216	"27.4.aE"
8	37	27.521643833049	"27.4.aE"
9	37	27.837983967055	"27.4.aE"
10	37	28.163006469146	"27.4.aE"
11	37	27.646205879842	"27.4.aE"
12	37	28.238119676317	"27.4.aE"
13	37	28.592750984327	"27.4.aE"
14	37	28.700438169178	"27.4.aE"
15	37	28.702263103822	"27.4.aE"
1	38	20.389261787142	"27.4.aE"
2	38	23.451398454771	"27.4.aE"
3	38	25.535525814152	"27.4.aE"
4	38	26.906899912777	"27.4.aE"
5	38	27.192594043848	"27.4.aE"
6	38	27.313216772606	"27.4.aE"
7	38	27.552411651332	"27.4.aE"
8	38	27.723073988195	"27.4.aE"
9	38	28.300465924794	"27.4.aE"
10	38	28.237835558509	"27.4.aE"
11	38	28.270339079325	"27.4.aE"
12	38	28.160007404329	"27.4.aE"
13	38	28.932244901544	"27.4.aE"
14	38	29.004723561411	"27.4.aE"
15	38	28.992188172973	"27.4.aE"
1	39	20.730885381152	"27.4.aE"
2	39	23.513318415052	"27.4.aE"
3	39	25.641582882699	"27.4.aE"
4	39	26.896082374458	"27.4.aE"
5	39	27.269169018299	"27.4.aE"
6	39	27.611647655175	"27.4.aE"
7	39	27.706235345053	"27.4.aE"
8	39	27.687394731559	"27.4.aE"
9	39	27.944861192812	"27.4.aE"
10	39	28.430161458693	"27.4.aE"
11	39	28.410328014253	"27.4.aE"
12	39	28.50450519058	"27.4.aE"
13	39	28.691254006685	"27.4.aE"
14	39	28.834003924502	"27.4.aE"
15	39	28.832064487931	"27.4.aE"
1	40	19.717403669335	"27.4.aE"
2	40	23.13008799989	"27.4.aE"
3	40	25.405865895038	"27.4.aE"
4	40	26.387635902991	"27.4.aE"
5	40	26.796732382395	"27.4.aE"
6	40	27.079478717222	"27.4.aE"
7	40	27.527383963659	"27.4.aE"
8	40	27.752676260698	"27.4.aE"
9	40	28.164213814525	"27.4.aE"
10	40	28.427468767763	"27.4.aE"
11	40	28.214444054724	"27.4.aE"
12	40	27.734370752404	"27.4.aE"
13	40	29.219791248888	"27.4.aE"
14	40	29.262378578597	"27.4.aE"
15	40	29.259980552023	"27.4.aE"
1	41	20.390073713406	"27.4.aE"
2	41	23.219499438923	"27.4.aE"
3	41	25.212838256368	"27.4.aE"
4	41	26.744646035294	"27.4.aE"
5	41	26.829073223453	"27.4.aE"
6	41	27.186142462006	"27.4.aE"
7	41	27.320098872707	"27.4.aE"
8	41	27.496430345472	"27.4.aE"
9	41	27.8887968791	"27.4.aE"
10	41	27.97297267204	"27.4.aE"
11	41	28.156894523552	"27.4.aE"
12	41	28.27747416259	"27.4.aE"
13	41	28.549369499311	"27.4.aE"
14	41	28.590940038593	"27.4.aE"
15	41	28.590480651933	"27.4.aE"
1	42	20.40820599797	"27.4.aE"
2	42	23.62736454562	"27.4.aE"
3	42	25.460592254715	"27.4.aE"
4	42	26.852099168254	"27.4.aE"
5	42	27.344621533905	"27.4.aE"
6	42	27.760078595433	"27.4.aE"
7	42	27.54823208201	"27.4.aE"
8	42	27.942353272117	"27.4.aE"
9	42	28.191938662516	"27.4.aE"
10	42	28.609603582483	"27.4.aE"
11	42	28.234279221908	"27.4.aE"
12	42	28.457950000209	"27.4.aE"
13	42	29.04812170001	"27.4.aE"
14	42	29.157093821322	"27.4.aE"
15	42	29.157139522647	"27.4.aE"
1	43	20.723922947454	"27.4.aE"
2	43	23.505085341989	"27.4.aE"
